Province,A(H1N1)pdm09,AH3,Auns,A,B,RSV,PIV1,PIV2,PIV3,PIV4,PIV-Other,ADENO,HMPV,RHINO,Corona,EndingDate
Alberta,1.0,3.0,3.0,7.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,103.0,2.0,2016-10-22
British Columbia,1.0,25.0,12.0,38.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,102.0,1.0,2016-10-22
Yukon,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-22
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2016-10-22
Nunavut,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2016-10-22
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,13.0,0.0,2016-10-29
Prince Edward Island,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-29
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-29
New Brunswick,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2016-10-29
Quebec,0.0,1.0,8.0,9.0,1.0,5.0,0.0,7.0,8.0,1.0,0.0,8.0,1.0,0.0,356.0,2016-10-29
Onatrio,1.0,6.0,5.0,12.0,0.0,16.0,1.0,25.0,3.0,3.0,0.0,8.0,1.0,81.0,6.0,2016-10-29
Manitoba,0.0,2.0,3.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,15.0,1.0,2016-10-29
Saskatchewan,0.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,11.0,2.0,0.0,9.0,1.0,79.0,11.0,2016-10-29
Alberta,0.0,16.0,8.0,24.0,0.0,22.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,83.0,12.0,2016-10-29
British Columbia,0.0,29.0,3.0,32.0,0.0,3.0,0.0,0.0,6.0,7.0,0.0,2.0,0.0,102.0,1.0,2016-10-29
Yukon,0.0,6.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-29
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016-10-29
Nunavut,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-29
Newfoundland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,2016-11-05
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-05
Nova Scotia,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-05
New Brunswick,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,2016-11-05
Quebec,0.0,0.0,8.0,8.0,2.0,18.0,0.0,12.0,6.0,0.0,0.0,5.0,6.0,0.0,387.0,2016-11-05
Onatrio,1.0,11.0,8.0,20.0,2.0,38.0,4.0,15.0,7.0,2.0,0.0,9.0,2.0,89.0,1.0,2016-11-05
Manitoba,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,2016-11-05
Saskatchewan,0.0,1.0,2.0,3.0,2.0,8.0,0.0,0.0,8.0,2.0,0.0,7.0,0.0,71.0,10.0,2016-11-05
Alberta,0.0,50.0,7.0,57.0,0.0,33.0,13.0,0.0,0.0,0.0,0.0,4.0,1.0,93.0,10.0,2016-11-05
British Columbia,0.0,23.0,15.0,38.0,2.0,7.0,2.0,0.0,3.0,8.0,0.0,2.0,0.0,56.0,3.0,2016-11-05
Yukon,0.0,12.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-05
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016-11-05
Nunavut,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-05
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,2016-11-12
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-12
Nova Scotia,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2016-11-12
New Brunswick,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2016-11-12
Quebec,0.0,3.0,14.0,17.0,2.0,29.0,0.0,8.0,3.0,1.0,0.0,14.0,1.0,0.0,409.0,2016-11-12
Onatrio,2.0,16.0,20.0,38.0,2.0,46.0,1.0,20.0,16.0,7.0,0.0,17.0,14.0,208.0,11.0,2016-11-12
Manitoba,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,2016-11-12
Saskatchewan,0.0,0.0,5.0,5.0,2.0,24.0,0.0,1.0,6.0,3.0,0.0,5.0,0.0,68.0,3.0,2016-11-12
Alberta,0.0,38.0,25.0,63.0,3.0,41.0,16.0,0.0,0.0,0.0,0.0,8.0,3.0,89.0,18.0,2016-11-12
British Columbia,0.0,46.0,0.0,46.0,2.0,5.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,83.0,6.0,2016-11-12
Yukon,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-12
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2016-11-12
Nunavut,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,13.0,9.0,2016-11-12
Newfoundland,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,10.0,0.0,2016-11-19
Prince Edward Island,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016-11-19
Nova Scotia,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2016-11-19
New Brunswick,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,7.0,1.0,2016-11-19
Quebec,0.0,3.0,32.0,35.0,1.0,27.0,0.0,6.0,5.0,1.0,0.0,22.0,0.0,0.0,376.0,2016-11-19
Onatrio,1.0,23.0,6.0,30.0,2.0,46.0,2.0,25.0,16.0,5.0,1.0,22.0,7.0,187.0,24.0,2016-11-19
Manitoba,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,4.0,2016-11-19
Saskatchewan,0.0,1.0,8.0,9.0,0.0,17.0,0.0,0.0,12.0,2.0,0.0,17.0,4.0,76.0,11.0,2016-11-19
Alberta,1.0,48.0,14.0,63.0,0.0,67.0,18.0,0.0,0.0,0.0,0.0,6.0,3.0,99.0,15.0,2016-11-19
British Columbia,0.0,23.0,7.0,30.0,2.0,11.0,2.0,2.0,9.0,9.0,0.0,0.0,0.0,71.0,7.0,2016-11-19
Yukon,0.0,22.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-19
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2016-11-19
Nunavut,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,2016-11-19
Newfoundland,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,10.0,0.0,2016-11-26
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2016-11-26
Nova Scotia,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2016-11-26
New Brunswick,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,2016-11-26
Quebec,0.0,7.0,31.0,38.0,4.0,62.0,1.0,9.0,8.0,0.0,0.0,20.0,2.0,0.0,382.0,2016-11-26
Onatrio,0.0,37.0,3.0,40.0,1.0,106.0,2.0,14.0,14.0,6.0,0.0,27.0,5.0,162.0,21.0,2016-11-26
Manitoba,0.0,3.0,1.0,4.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,19.0,1.0,2016-11-26
Saskatchewan,0.0,4.0,7.0,11.0,0.0,41.0,0.0,1.0,7.0,3.0,0.0,13.0,3.0,67.0,16.0,2016-11-26
Alberta,0.0,70.0,20.0,90.0,0.0,86.0,29.0,0.0,0.0,0.0,0.0,11.0,4.0,81.0,19.0,2016-11-26
British Columbia,0.0,32.0,8.0,40.0,2.0,18.0,1.0,0.0,11.0,7.0,0.0,1.0,3.0,73.0,8.0,2016-11-26
Yukon,0.0,18.0,9.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-11-26
Northwest Territories,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016-11-26
Nunavut,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2016-11-26
Newfoundland,0.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,3.0,1.0,11.0,0.0,2016-12-03
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-03
Nova Scotia,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2016-12-03
New Brunswick,1.0,3.0,0.0,4.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2016-12-03
Quebec,0.0,7.0,61.0,69.0,4.0,91.0,0.0,6.0,2.0,2.0,0.0,29.0,0.0,0.0,459.0,2016-12-03
Onatrio,0.0,57.0,3.0,60.0,0.0,106.0,0.0,18.0,12.0,12.0,0.0,31.0,14.0,149.0,32.0,2016-12-03
Manitoba,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,10.0,2.0,2016-12-03
Saskatchewan,0.0,10.0,22.0,32.0,0.0,57.0,0.0,0.0,13.0,3.0,0.0,15.0,4.0,71.0,30.0,2016-12-03
Alberta,0.0,106.0,44.0,150.0,1.0,108.0,28.0,0.0,0.0,0.0,0.0,22.0,1.0,82.0,25.0,2016-12-03
British Columbia,0.0,17.0,9.0,26.0,1.0,34.0,0.0,1.0,12.0,4.0,0.0,8.0,8.0,89.0,5.0,2016-12-03
Yukon,0.0,18.0,8.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-03
Northwest Territories,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2016-12-03
Nunavut,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2016-12-03
Newfoundland,0.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,2016-12-10
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-10
Nova Scotia,0.0,0.0,5.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2016-12-10
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-10
Quebec,0.0,9.0,78.0,87.0,5.0,112.0,0.0,1.0,5.0,5.0,0.0,35.0,1.0,0.0,454.0,2016-12-10
Onatrio,2.0,107.0,20.0,129.0,1.0,195.0,5.0,14.0,28.0,8.0,0.0,22.0,16.0,175.0,52.0,2016-12-10
Manitoba,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,9.0,6.0,2016-12-10
Saskatchewan,0.0,3.0,20.0,23.0,0.0,80.0,0.0,1.0,9.0,6.0,0.0,13.0,2.0,50.0,46.0,2016-12-10
Alberta,0.0,225.0,10.0,235.0,4.0,170.0,32.0,0.0,0.0,0.0,0.0,7.0,6.0,70.0,15.0,2016-12-10
British Columbia,0.0,36.0,11.0,47.0,0.0,40.0,1.0,0.0,11.0,5.0,0.0,4.0,1.0,99.0,8.0,2016-12-10
Yukon,0.0,15.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-10
Northwest Territories,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-10
Nunavut,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2016-12-10
Newfoundland,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,6.0,0.0,2016-12-17
Prince Edward Island,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2016-12-17
Nova Scotia,0.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-17
New Brunswick,0.0,1.0,1.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2016-12-17
Quebec,0.0,7.0,139.0,146.0,10.0,166.0,0.0,6.0,13.0,6.0,0.0,30.0,14.0,0.0,491.0,2016-12-17
Onatrio,1.0,136.0,24.0,161.0,3.0,197.0,3.0,18.0,25.0,10.0,0.0,30.0,28.0,136.0,88.0,2016-12-17
Manitoba,0.0,1.0,0.0,1.0,0.0,31.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,11.0,2.0,2016-12-17
Saskatchewan,0.0,21.0,50.0,71.0,0.0,89.0,0.0,2.0,17.0,5.0,0.0,19.0,1.0,54.0,51.0,2016-12-17
Alberta,0.0,173.0,73.0,246.0,3.0,189.0,29.0,0.0,0.0,0.0,0.0,15.0,8.0,65.0,16.0,2016-12-17
British Columbia,0.0,37.0,45.0,82.0,1.0,72.0,1.0,0.0,11.0,5.0,0.0,2.0,8.0,43.0,10.0,2016-12-17
Yukon,0.0,14.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-17
Northwest Territories,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2016-12-17
Nunavut,0.0,3.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,2016-12-17
Newfoundland,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,5.0,1.0,6.0,0.0,2016-12-24
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-24
Nova Scotia,0.0,0.0,3.0,3.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-24
New Brunswick,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,2016-12-24
Quebec,0.0,0.0,253.0,253.0,5.0,174.0,0.0,5.0,8.0,2.0,0.0,16.0,11.0,0.0,434.0,2016-12-24
Onatrio,1.0,243.0,163.0,407.0,6.0,355.0,7.0,12.0,24.0,2.0,0.0,35.0,34.0,153.0,121.0,2016-12-24
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-24
Saskatchewan,0.0,59.0,64.0,123.0,0.0,112.0,1.0,0.0,10.0,2.0,0.0,15.0,7.0,45.0,65.0,2016-12-24
Alberta,0.0,304.0,7.0,311.0,1.0,266.0,50.0,0.0,0.0,0.0,0.0,11.0,5.0,71.0,32.0,2016-12-24
British Columbia,0.0,111.0,0.0,111.0,3.0,81.0,0.0,1.0,8.0,9.0,0.0,1.0,12.0,59.0,18.0,2016-12-24
Yukon,0.0,14.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-24
Northwest Territories,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-24
Nunavut,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,5.0,2016-12-24
Newfoundland,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,4.0,0.0,2016-12-31
Prince Edward Island,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-31
Nova Scotia,0.0,0.0,3.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-31
New Brunswick,0.0,3.0,8.0,11.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0,2016-12-31
Quebec,0.0,12.0,600.0,612.0,13.0,315.0,1.0,6.0,8.0,3.0,0.0,33.0,10.0,0.0,538.0,2016-12-31
Onatrio,1.0,457.0,97.0,555.0,4.0,284.0,2.0,13.0,26.0,8.0,0.0,24.0,51.0,88.0,142.0,2016-12-31
Manitoba,0.0,0.0,0.0,0.0,6.0,53.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,7.0,8.0,2016-12-31
Saskatchewan,0.0,56.0,95.0,151.0,1.0,182.0,0.0,0.0,9.0,10.0,0.0,6.0,2.0,40.0,43.0,2016-12-31
Alberta,1.0,331.0,37.0,369.0,2.0,302.0,43.0,0.0,0.0,0.0,0.0,7.0,11.0,52.0,33.0,2016-12-31
British Columbia,0.0,153.0,142.0,295.0,1.0,102.0,1.0,0.0,10.0,9.0,0.0,0.0,0.0,45.0,0.0,2016-12-31
Yukon,0.0,3.0,8.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-31
Northwest Territories,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-12-31
Nunavut,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,2016-12-31
Newfoundland,0.0,7.0,0.0,7.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,3.0,0.0,2017-01-07
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-07
Nova Scotia,0.0,0.0,14.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2017-01-07
New Brunswick,0.0,9.0,16.0,25.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,2017-01-07
Quebec,0.0,37.0,804.0,841.0,14.0,392.0,1.0,4.0,8.0,3.0,0.0,43.0,24.0,0.0,723.0,2017-01-07
Onatrio,1.0,633.0,239.0,873.0,6.0,475.0,2.0,24.0,42.0,15.0,0.0,37.0,74.0,151.0,263.0,2017-01-07
Manitoba,0.0,8.0,2.0,10.0,2.0,75.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,2017-01-07
Saskatchewan,0.0,100.0,13.0,113.0,1.0,107.0,1.0,1.0,16.0,7.0,0.0,6.0,9.0,36.0,53.0,2017-01-07
Alberta,0.0,339.0,82.0,421.0,7.0,263.0,46.0,0.0,0.0,0.0,0.0,9.0,12.0,40.0,20.0,2017-01-07
British Columbia,0.0,107.0,283.0,390.0,5.0,157.0,0.0,3.0,5.0,4.0,0.0,1.0,6.0,39.0,18.0,2017-01-07
Yukon,0.0,3.0,8.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-07
Northwest Territories,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2017-01-07
Nunavut,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2017-01-07
Newfoundland,0.0,0.0,6.0,6.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,2017-01-14
Prince Edward Island,1.0,16.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
Nova Scotia,0.0,0.0,38.0,38.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2017-01-14
New Brunswick,0.0,0.0,22.0,22.0,0.0,34.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,10.0,2017-01-14
Quebec,0.0,68.0,607.0,675.0,11.0,384.0,1.0,4.0,11.0,3.0,0.0,24.0,14.0,0.0,643.0,2017-01-14
Onatrio,7.0,1347.0,160.0,1514.0,11.0,427.0,4.0,17.0,44.0,13.0,0.0,36.0,81.0,157.0,315.0,2017-01-14
Manitoba,0.0,11.0,1.0,12.0,1.0,94.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,9.0,14.0,2017-01-14
Saskatchewan,0.0,108.0,77.0,185.0,1.0,184.0,1.0,1.0,11.0,4.0,0.0,15.0,12.0,43.0,55.0,2017-01-14
Alberta,0.0,262.0,124.0,386.0,4.0,224.0,34.0,0.0,0.0,0.0,0.0,7.0,13.0,43.0,32.0,2017-01-14
British Columbia,1.0,155.0,504.0,660.0,10.0,157.0,0.0,0.0,16.0,3.0,0.0,0.0,17.0,24.0,21.0,2017-01-14
Yukon,0.0,5.0,6.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
Northwest Territories,0.0,3.0,3.0,6.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2017-01-14
Nunavut,0.0,4.0,4.0,8.0,0.0,4.0,0.0,10.0,4.0,0.0,0.0,6.0,0.0,14.0,6.0,2017-01-14
Newfoundland,0.0,4.0,4.0,8.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2017-01-21
Prince Edward Island,0.0,17.0,0.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-01-21
Nova Scotia,0.0,0.0,12.0,12.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2017-01-21
New Brunswick,0.0,0.0,43.0,43.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,7.0,2017-01-21
Quebec,0.0,49.0,657.0,706.0,15.0,512.0,1.0,2.0,8.0,3.0,0.0,26.0,28.0,0.0,657.0,2017-01-21
Onatrio,5.0,898.0,145.0,1048.0,7.0,400.0,1.0,11.0,32.0,7.0,0.0,24.0,95.0,91.0,260.0,2017-01-21
Manitoba,0.0,7.0,11.0,18.0,0.0,92.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,2017-01-21
Saskatchewan,0.0,101.0,42.0,143.0,1.0,153.0,0.0,0.0,14.0,3.0,0.0,10.0,7.0,30.0,50.0,2017-01-21
Alberta,0.0,202.0,48.0,250.0,4.0,185.0,33.0,0.0,0.0,0.0,0.0,9.0,10.0,30.0,30.0,2017-01-21
British Columbia,0.0,55.0,362.0,417.0,20.0,149.0,2.0,3.0,11.0,6.0,0.0,2.0,22.0,30.0,27.0,2017-01-21
Yukon,0.0,2.0,4.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-21
Northwest Territories,0.0,7.0,1.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2017-01-21
Nunavut,0.0,8.0,6.0,14.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,16.0,4.0,2017-01-21
Newfoundland,0.0,0.0,10.0,10.0,1.0,14.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,2017-01-28
Prince Edward Island,0.0,20.0,0.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-28
Nova Scotia,0.0,0.0,34.0,34.0,0.0,24.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-01-28
New Brunswick,0.0,10.0,55.0,65.0,0.0,36.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,2017-01-28
Quebec,0.0,55.0,614.0,669.0,8.0,562.0,1.0,8.0,11.0,4.0,0.0,21.0,25.0,0.0,648.0,2017-01-28
Onatrio,2.0,700.0,151.0,853.0,6.0,426.0,8.0,9.0,30.0,4.0,0.0,44.0,77.0,115.0,233.0,2017-01-28
Manitoba,0.0,1.0,42.0,43.0,0.0,57.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,6.0,2017-01-28
Saskatchewan,0.0,102.0,17.0,119.0,1.0,94.0,0.0,1.0,8.0,3.0,0.0,9.0,14.0,45.0,35.0,2017-01-28
Alberta,0.0,204.0,8.0,212.0,14.0,175.0,42.0,0.0,0.0,0.0,0.0,9.0,7.0,57.0,28.0,2017-01-28
British Columbia,0.0,183.0,346.0,529.0,17.0,164.0,1.0,0.0,13.0,0.0,0.0,1.0,12.0,18.0,30.0,2017-01-28
Yukon,0.0,0.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-28
Northwest Territories,0.0,5.0,0.0,5.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2017-01-28
Nunavut,0.0,19.0,0.0,19.0,0.0,16.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,12.0,1.0,2017-01-28
Newfoundland,0.0,0.0,13.0,13.0,0.0,15.0,0.0,7.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,2017-02-04
Prince Edward Island,1.0,16.0,0.0,17.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-04
